,valid_loss_best,test_sharpe_gross,test_sharpe_net
amber-sweep-42,0.31529435680972207,0.25933752918076813,0.10814726156878109
tough-sweep-32,0.3057477682828903,0.059908226915469334,-0.05944869176806195
fast-sweep-19,0.3011135417554114,0.2534938613919596,-0.15539258053644373
wandering-sweep-29,0.2994818538427353,0.27681224135505544,0.1645007372463806
hearty-sweep-23,0.2993664760142565,-0.042526083995584885,-0.1042379014599276
avid-sweep-3,0.2966494643025928,-0.12175172565201547,-0.18553012606571384
stellar-sweep-48,0.29656359139415955,-0.08233943269532062,-0.13969215123300466
graceful-sweep-31,0.293403085321188,0.15386163234080383,-0.013703102440796365
golden-sweep-50,0.2908420018851757,0.18923001441448672,0.06583147122722495
peach-sweep-7,0.2890893953541915,-0.05646779142880915,-0.11808646771515212
