,valid_loss_best,test_sharpe_gross,test_sharpe_net
laced-sweep-31,0.31773604154586793,-0.06244159364702216,-0.23839710696862149
graceful-sweep-9,0.28597836643457414,-0.3185284803135829,-0.9619314960249952
divine-sweep-28,0.261108014629119,-0.07946262561392918,-0.24887162538743304
legendary-sweep-45,0.2554980039596558,-0.04202414512783692,-0.1410657855290402
graceful-sweep-44,0.24014853090047836,0.03232867958651832,-0.2990144951174975
gentle-sweep-16,0.23604010567069053,-0.07800103616374592,-0.1764181277068782
iconic-sweep-14,0.23273709416389465,-0.016025986582453116,-0.12388074459661512
spring-sweep-6,0.22811129627128443,-0.07613962044141533,-0.1844943853842296
firm-sweep-40,0.22400316865079933,-0.25557665872723173,-0.5157496060971134
eager-sweep-35,0.21913057772649655,-0.0732761183176914,-0.16698295310462594
