,valid_loss_best,test_sharpe_gross,test_sharpe_net
laced-sweep-31,0.31773604154586793,-0.06244159364702216,-0.23839710696862149
graceful-sweep-9,0.28597836643457414,-0.3185284803135829,-0.9619314960249952
divine-sweep-28,0.261108014629119,-0.07946262561392918,-0.24887162538743304
legendary-sweep-45,0.2554980039596558,-0.04202414512783692,-0.1410657855290402
graceful-sweep-44,0.24014853090047836,0.03232867958651832,-0.2990144951174975
gentle-sweep-16,0.23604010567069053,-0.07800103616374592,-0.1764181277068782
iconic-sweep-14,0.23273709416389465,-0.016025986582453116,-0.12388074459661512
spring-sweep-6,0.22811129627128443,-0.07613962044141533,-0.1844943853842296
firm-sweep-40,0.22400316865079933,-0.25557665872723173,-0.5157496060971134
eager-sweep-35,0.21913057772649655,-0.0732761183176914,-0.16698295310462594
resilient-sweep-17,0.21657032147049904,0.09793554114625153,-0.25557972640237675
pretty-sweep-25,0.21535419589943355,-0.1804248726340242,-0.3769418171655265
fearless-sweep-7,0.20621399842202665,0.026472070730414365,-0.0726042692553329
usual-sweep-38,0.20351196359843016,-0.11611657048973326,-0.1998060059252768
logical-sweep-19,0.2034761678013537,-0.03747734468195482,-0.23590015368951892
summer-sweep-8,0.2031312910374254,-0.2716518215461044,-0.3555084917747094
revived-sweep-5,0.198297905921936,-0.06358646669744666,-0.11751086384327204
smart-sweep-21,0.19130205487211543,-0.07230220337619958,-0.3170383517726126
leafy-sweep-23,0.185821785695023,0.013475123167181684,-0.22753419552491225
misunderstood-sweep-3,0.18427059128880505,-0.08758817353420993,-0.1867102131830564
lucky-sweep-48,0.1837821944306294,-0.29356577261049127,-1.0712511036996593
autumn-sweep-18,0.1837436825864845,-0.14594784017658768,-0.4405786358881094
breezy-sweep-43,0.18371131288586184,-0.036265594906857254,-0.10375588124617913
kind-sweep-46,0.1831656059043275,-0.08762073592750991,-0.17496166671652855
usual-sweep-27,0.18291927501559255,-0.07147741754309224,-0.17589405697805274
flowing-sweep-30,0.18185864835977555,0.027534765318565135,-0.06252222455699692
bumbling-sweep-36,0.17903086377514732,0.0015141147897388956,-0.11516118589591588
woven-sweep-50,0.17700939459933174,-0.05534296603512483,-0.5802475104899754
gentle-sweep-29,0.17494567732016245,0.024778988905978665,-0.08072508484033265
dainty-sweep-11,0.174412839476847,-0.037250180407878815,-0.10119465642409704
firm-sweep-33,0.17150580510497093,-0.05549023971542343,-0.15753687439322075
desert-sweep-49,0.1713654887345102,-0.04286384461099709,-0.21476792432800937
fanciful-sweep-15,0.1708052684035566,0.14484173892022864,-0.5459103422064343
silver-sweep-39,0.16787828803062438,-0.06802311311296337,-0.18996153808907051
treasured-sweep-47,0.16595909289187857,-0.16869770964259714,-0.9926986441170264
fresh-sweep-26,0.16302105877548456,0.1998734254773364,-0.2019982553492865
magic-sweep-20,0.16298609558078975,-0.0715756813102061,-0.25097418489942297
jumping-sweep-22,0.1538383841721548,0.017270258094059934,-0.10135529222113458
gallant-sweep-12,0.14339465915691108,-0.034530850960142634,-0.18630622752796508
summer-sweep-42,0.1430783923715353,-0.20238264432667036,-0.4030595332094855
fresh-sweep-2,0.13319626078009603,0.0024839190062819847,-0.0982656693972421
playful-sweep-32,0.12834405402342478,-0.07502671841278932,-0.2402696395815488
major-sweep-1,0.12650643214583396,0.21764070914195485,0.035131207564955046
dashing-sweep-41,0.12553070763695157,-0.0328110058791933,-0.11435154534186238
deft-sweep-4,0.12483357787132264,-0.017700140822769727,-0.4082948198220523
pretty-sweep-37,0.10119124837219716,0.02708199096864043,-0.039038669318249085
genial-sweep-24,0.0891885556280613,0.1137805052160312,0.036051427387906614
glamorous-sweep-13,0.07820626944885589,-0.2548920575085491,-0.8551968724651441
charmed-sweep-10,0.06615366637706757,-0.1717742755261588,-0.6101616541214102
whole-sweep-34,0.05255687650707033,-0.2014474790028127,-0.8214240212895277
