,valid_loss_best,test_sharpe_gross,test_sharpe_net
misty-sweep-2,0.5939807772636414,0.9122433505004368,0.6344436394770268
vivid-sweep-24,0.5860015153884888,0.6352247143041454,0.4925512976070394
still-sweep-29,0.5801491498947143,0.7324419904089928,0.6233512668209245
dry-sweep-43,0.5638975699742635,0.833898335710714,0.7448915037473496
efficient-sweep-23,0.551023292541504,0.8454194944396023,0.725480362004104
iconic-sweep-38,0.5388408104578654,0.7153455585756476,0.5920924184808563
zesty-sweep-48,0.5369937390089035,0.5219330145948022,0.3606486164427135
playful-sweep-49,0.530656506617864,0.8146671118941939,0.5256685194479043
ruby-sweep-13,0.5254116475582122,0.7004619206265221,0.47773965307228394
divine-sweep-41,0.5236853212118149,0.8154381420578172,0.5106680715420734
