,valid_loss_best,test_sharpe_gross,test_sharpe_net
misty-sweep-2,0.5939807772636414,0.9122433505004368,0.6344436394770268
vivid-sweep-24,0.5860015153884888,0.6352247143041454,0.4925512976070394
still-sweep-29,0.5801491498947143,0.7324419904089928,0.6233512668209245
dry-sweep-43,0.5638975699742635,0.833898335710714,0.7448915037473496
efficient-sweep-23,0.551023292541504,0.8454194944396023,0.725480362004104
iconic-sweep-38,0.5388408104578654,0.7153455585756476,0.5920924184808563
zesty-sweep-48,0.5369937390089035,0.5219330145948022,0.3606486164427135
playful-sweep-49,0.530656506617864,0.8146671118941939,0.5256685194479043
ruby-sweep-13,0.5254116475582122,0.7004619206265221,0.47773965307228394
divine-sweep-41,0.5236853212118149,0.8154381420578172,0.5106680715420734
still-sweep-18,0.5233528812726339,0.8973136447113462,0.7739328216237209
royal-sweep-10,0.5157869637012482,0.7057973925871309,0.46757177742251166
eager-sweep-30,0.5149497985839844,0.8469226425220516,0.691646851525688
hopeful-sweep-16,0.5134410172700882,0.6338649146736536,0.26280228063509636
stellar-sweep-47,0.5117333432038625,0.6840055893063737,0.4679632298362011
magic-sweep-12,0.5113510489463806,0.714338630320086,0.4817374983069632
swept-sweep-15,0.5113316774368286,0.862549457037081,0.6497285050196053
morning-sweep-11,0.5101501822471619,0.6001010910312835,0.548272019216988
dutiful-sweep-8,0.509933590888977,0.7327555355790749,0.6739577099302565
different-sweep-21,0.5086013555526734,0.9283979640805324,0.7141855448688006
cerulean-sweep-3,0.502763319015503,0.8983876936323254,0.5058934295670162
unique-sweep-36,0.5011541843414307,0.6936218812918604,0.496343918321392
atomic-sweep-27,0.4959440559148788,0.6759372122259981,0.3009429780691139
rural-sweep-32,0.4954424599806468,0.8110404670242477,0.7053038362891136
worldly-sweep-5,0.4950844645500183,0.8627984835763521,0.64997372692542
wandering-sweep-9,0.4926923230290413,0.7263968135094637,0.5849657376109771
honest-sweep-40,0.4906761348247528,0.8260774476037057,0.5195666070478979
dulcet-sweep-50,0.48918015758196515,0.4730461362509345,0.12633395543154635
noble-sweep-25,0.4863156713079661,0.7574493762290209,0.636388196891959
volcanic-sweep-28,0.4857397973537445,0.7322583695577848,0.45036303004670103
earthy-sweep-19,0.4816490888595581,0.8599996996713208,0.6105068402995406
elated-sweep-14,0.4779098530610402,0.8228413444733337,0.5868058061365484
wild-sweep-39,0.4751636286576589,0.7872967829657218,0.6530574059035148
easy-sweep-1,0.4689786031842232,0.8500559061483173,0.7776470132366101
playful-sweep-35,0.4611688911914825,0.894074643860617,0.7848086973408912
hardy-sweep-17,0.45732600912451743,0.8885400571154616,0.6848199178808496
rich-sweep-34,0.4565211733182271,0.7392169197413421,0.4271399082691562
flowing-sweep-31,0.4522494373843074,0.7830755731881924,0.5833235771212424
golden-sweep-46,0.4516794890165329,0.9306086290273468,0.6224212956574366
treasured-sweep-37,0.4505304495493571,0.8131226269437914,0.575004784815874
kind-sweep-45,0.43849367685616014,0.8771709399996026,0.6834934775138082
atomic-sweep-42,0.43794760927557946,0.9380749899192208,0.7090601142341867
peach-sweep-20,0.4333371311426163,0.7810024021154711,0.12441339915729197
twilight-sweep-22,0.4279658250510693,0.7830454723787674,0.6513937583857707
splendid-sweep-4,0.4267110809683799,0.8779290782644936,0.7820358728897668
sweepy-sweep-7,0.402140607436498,0.9009525309713732,0.7599935654128603
wild-sweep-44,0.3914944037795067,0.972769336619162,0.8077068203904535
prime-sweep-6,0.3804193370044231,0.7716110678491456,0.425428734433242
brisk-sweep-26,0.34451552232106525,0.64680855841219,0.34573289666131274
upbeat-sweep-33,0.3402101894219716,0.809666711026321,0.6038145674968485
