,valid_loss_best,test_sharpe_gross,test_sharpe_net
rare-sweep-43,0.41564884781837463,1.407325995723125,0.43672744405516906
robust-sweep-19,0.3554050707154804,0.9955694959016717,0.05536690271727832
crimson-sweep-37,0.35492244197262657,0.2815621728636811,0.02776812730726081
easy-sweep-3,0.3547021908064683,0.05676926344560927,-0.1489118450422089
hardy-sweep-31,0.3224995426005787,-0.0573785613345624,-0.21921905746543777
fluent-sweep-6,0.31825477778911593,-0.2841910959913119,-0.4235391389605605
brisk-sweep-47,0.29442614018917085,-0.07565478335983462,-0.253448094749666
icy-sweep-21,0.28677684962749483,0.009302824914461074,-0.3415706060004876
dauntless-sweep-9,0.2769949659705162,-0.10158144477598637,-0.2118762355598335
serene-sweep-41,0.27644940631257164,-0.021258186356005085,-0.15403040796899495
grateful-sweep-49,0.2707059689693981,-0.4966457644345683,-0.978632122237972
fresh-sweep-24,0.25630081444978714,0.041488789237034966,-0.08049789904455985
comfy-sweep-13,0.25621307343244554,0.08829094394282494,-0.08718189706392464
curious-sweep-15,0.2545291781425476,-0.1530423481424795,-0.2731047782712017
polished-sweep-28,0.25386845171451566,-0.10903611800647392,-0.470098068432833
neat-sweep-25,0.24825327310504183,0.03325992735251336,-0.21893394650196196
splendid-sweep-29,0.24517045319080352,0.0033588952235629344,-0.1612841152965572
exalted-sweep-23,0.2411992073059082,0.10309801825434238,-0.056966013478433
zany-sweep-11,0.23947283025417063,0.3568112463245396,-0.17846478948222502
still-sweep-27,0.23834505697919264,-0.1118585357129342,-0.21075827482692228
winter-sweep-50,0.2378281176090241,-0.27188278836114316,-0.48624278452612146
fearless-sweep-39,0.23441519091526664,0.3370467642129719,0.016612954557494827
soft-sweep-14,0.23410080671310424,0.06398057505432708,-0.11839676511025228
ancient-sweep-12,0.22822968123687637,0.10584713796607696,-0.05441176378596898
happy-sweep-10,0.2269163562191857,0.2754778196968584,0.06757733911012359
earthy-sweep-4,0.2208837964054611,-0.13433970724832922,-0.33045201687675024
astral-sweep-16,0.2190002151247528,-0.02386010486695934,-0.09872529828724656
jumping-sweep-20,0.21881924867630004,-0.1109701683928842,-0.21466297684816324
efficient-sweep-5,0.21881775557994845,-0.1561997675770884,-0.5280383746691629
charmed-sweep-46,0.21761328685614795,-0.13335239946151917,-0.2057380248561345
dashing-sweep-40,0.21622075960040096,-0.14686426674836411,-0.2839248421433917
giddy-sweep-36,0.21551550179719925,0.09790014145867076,-0.28327915116963553
crimson-sweep-8,0.2079217866063118,-0.18127662338923756,-0.27240182046595574
swept-sweep-18,0.20631024106923077,-0.16881545906765114,-0.8032527753176056
prime-sweep-48,0.20538285322901276,-0.34315699317922593,-0.5518560848725848
mild-sweep-32,0.2053330027394825,0.08557830399577447,0.0036452729379512576
spring-sweep-26,0.1970812276005745,-0.031392052470801624,-0.16986654534377352
sage-sweep-42,0.1918973409467273,-0.15384721397262544,-0.28483986677034434
sunny-sweep-7,0.1904688193462789,-0.028548691074385815,-0.1653562803214383
earnest-sweep-2,0.1889402039349079,0.038695571459519136,-0.2393284944346208
fine-sweep-34,0.1874989835648901,-0.02477598210633743,-0.11692098090019112
unique-sweep-33,0.1861117304199272,0.017888252344113793,-0.11679018198328812
stellar-sweep-44,0.18570576906204225,-0.008538068156578132,-0.0894754562678115
devoted-sweep-35,0.17565787335236868,0.12986337802801967,-0.13057314073031917
lemon-sweep-22,0.1676351509988308,-0.07877049816916744,-0.16734726078746312
polar-sweep-1,0.16198663413524628,-0.02597413123953405,-0.433701014810166
gentle-sweep-45,0.15977468486461374,-0.01038448124370242,-0.3289610579536147
electric-sweep-30,0.15431638227568734,-0.019049410805017177,-0.6773024467607112
trim-sweep-38,0.13276882502250373,-0.06628501588897395,-0.16360298924093566
fiery-sweep-17,0.1267977088689804,0.0887053443046509,-0.05742655956115618
