,valid_loss_best,test_sharpe_gross,test_sharpe_net
rare-sweep-43,0.41564884781837463,1.407325995723125,0.43672744405516906
robust-sweep-19,0.3554050707154804,0.9955694959016717,0.05536690271727832
crimson-sweep-37,0.35492244197262657,0.2815621728636811,0.02776812730726081
easy-sweep-3,0.3547021908064683,0.05676926344560927,-0.1489118450422089
hardy-sweep-31,0.3224995426005787,-0.0573785613345624,-0.21921905746543777
fluent-sweep-6,0.31825477778911593,-0.2841910959913119,-0.4235391389605605
brisk-sweep-47,0.29442614018917085,-0.07565478335983462,-0.253448094749666
icy-sweep-21,0.28677684962749483,0.009302824914461074,-0.3415706060004876
dauntless-sweep-9,0.2769949659705162,-0.10158144477598637,-0.2118762355598335
serene-sweep-41,0.27644940631257164,-0.021258186356005085,-0.15403040796899495
