,valid_loss_best,test_sharpe_gross,test_sharpe_net
soft-sweep-44,0.6453876867890358,1.8538042720272383,1.000663587973309
fluent-sweep-26,0.614311009645462,1.471830227155842,0.8037757048541444
magic-sweep-3,0.5659727826714516,1.9206672630057768,1.3095025532137263
vocal-sweep-31,0.5260867327451706,1.8397541321270667,1.3251290529317985
woven-sweep-9,0.4851434752345085,1.940405088051111,1.1856753431594136
cosmic-sweep-45,0.47954895719885826,1.869052623940363,1.5696335694370298
decent-sweep-1,0.4524749731644988,1.879254027449176,1.248323367551329
jumping-sweep-19,0.45039068907499313,1.8705385280630589,1.3933972460693147
restful-sweep-17,0.3727574795484543,1.4253708756665426,1.393761673054411
cool-sweep-2,0.37222982943058014,1.246328694711074,1.217200615325101
