,valid_loss_best,test_sharpe_gross,test_sharpe_net
soft-sweep-35,0.6731089204549789,0.6760737024908903,0.5857095275585994
ruby-sweep-41,0.6711797788739204,0.8406751209002277,0.6918663491216586
radiant-sweep-39,0.6660188287496567,0.8595816601978156,0.7425577382335021
autumn-sweep-31,0.6594773360661098,0.8561215073904059,0.5943974306878901
silvery-sweep-44,0.657334463936942,0.6721237482663449,0.524459136551194
driven-sweep-18,0.6563784778118134,0.910767628646522,0.67915638256627
toasty-sweep-2,0.6528564393520355,0.8155093991233824,0.7208298916297069
playful-sweep-42,0.6472982721669334,0.5406023374499238,0.4792169411850408
whole-sweep-13,0.6463329046964645,0.7042916434714913,0.5870513489333913
divine-sweep-32,0.6457994431257248,0.8167961377388876,0.6553237884339331
