,valid_loss_best,test_sharpe_gross,test_sharpe_net
happy-sweep-11,0.9308133210454668,2.6878982858707445,1.6586331844544078
apricot-sweep-40,0.9254312941006252,2.104014226654735,1.1883530207426511
pretty-sweep-24,0.916905437197004,1.5265324131468876,0.5754417371656627
classic-sweep-50,0.9114357531070708,2.6066425071983055,1.6046748577345034
gallant-sweep-31,0.9084470186914716,2.6106920727757004,1.4709208016015405
easy-sweep-10,0.9042864399296896,2.3196877114345043,1.3548669675827711
jolly-sweep-17,0.9039084017276764,2.388818033104396,1.3545886495187105
solar-sweep-14,0.9032890796661376,2.363363344217413,1.2860924697153295
twilight-sweep-9,0.8801901489496231,1.9186710159985376,1.0835698707800645
hopeful-sweep-2,0.8757245540618896,2.4305983954602666,1.408577286496655
proud-sweep-45,0.8745319843292236,1.7495284460944782,0.7981980114788059
smart-sweep-4,0.8720862716436386,2.461998084980964,1.4836275003674868
sandy-sweep-5,0.8720574378967285,2.5332167982303986,1.3508397207490446
efficient-sweep-16,0.869157612323761,2.271939820998264,1.2702573236513806
wandering-sweep-42,0.8493587970733643,2.189819171529484,1.1657402064143936
woven-sweep-22,0.8324132412672043,2.10353375204642,1.086577862034168
laced-sweep-27,0.814485564827919,2.0078132269353564,0.9873367492466024
northern-sweep-46,0.8140084658350263,2.278406883611448,1.2464581684427511
stilted-sweep-7,0.8117698686463493,1.932957783489613,0.8722846809888429
divine-sweep-15,0.8093824258872441,2.509027521080593,1.497509447679099
magic-sweep-6,0.8081745420183454,2.123465092758641,1.248063028270718
clean-sweep-21,0.8079731911420822,2.518585810766345,1.6103486651616787
smooth-sweep-18,0.8065276486533028,2.676064204991325,1.5730262192370577
major-sweep-25,0.7975911498069763,2.538332902914731,1.5783832138492069
cerulean-sweep-30,0.7916925421782902,2.215894529900585,1.232748748118699
generous-sweep-41,0.7894864933831351,2.405030770377384,1.4058159804910273
ancient-sweep-23,0.7871505618095398,2.6218933305804306,1.6207256306526656
lively-sweep-35,0.7869112174957991,2.297164433591668,1.210176113327306
glad-sweep-38,0.78526229092053,2.5471860673071305,1.5176790338240154
devout-sweep-33,0.7838603258132935,1.622684776862423,0.6344028950271264
elated-sweep-12,0.7766906533922467,2.045881078235497,1.1217249690621738
cosmic-sweep-39,0.7713877005236489,1.877837159176395,0.7510110019925035
leafy-sweep-34,0.7672477832862309,1.996579583434561,0.9739138951839446
sandy-sweep-48,0.7646210938692093,2.4216341115293125,1.3828142612685446
easy-sweep-8,0.7619928941130638,2.531273890941609,1.555574420278698
feasible-sweep-32,0.7604309916496277,2.446815120463223,1.5140893461728533
astral-sweep-44,0.7513562142848969,2.1276991781300514,1.2520925750428191
exalted-sweep-13,0.7509880704539162,2.4163600486434973,1.4464282138627935
glamorous-sweep-28,0.7459488979407719,1.9921547999446303,0.8531342019958773
proud-sweep-43,0.7437884733080864,2.240557716477541,1.4173749656685843
treasured-sweep-37,0.7249066680669785,2.608906930566021,1.5501324440236262
generous-sweep-20,0.7130351322037833,2.6564104246245033,1.753698601800615
golden-sweep-1,0.7115473598241806,2.649451711886621,1.5927843033506237
cosmic-sweep-26,0.6874217465519905,2.182294841516552,1.1633135145231064
fresh-sweep-3,0.6846981793642044,2.4831249908160435,1.5019949206773289
dark-sweep-47,0.6693946080548423,2.032196923699985,1.0697149728167894
rural-sweep-49,0.6391703262925148,1.795320322987647,1.0991553217496224
splendid-sweep-29,0.5308793559670448,1.239651820593107,0.8865887399169078
balmy-sweep-19,0.4865593984723091,1.1131815970367236,0.709039285819071
grateful-sweep-36,0.3858990371227264,0.630833638879533,0.30807325070631164
