,valid_loss_best,test_sharpe_gross,test_sharpe_net
copper-sweep-17,1.4682460278272629,3.3297892751046634,2.399836298567448
dulcet-sweep-21,1.4490174651145935,4.077336106971985,3.0422727034884782
expert-sweep-37,1.4482775777578354,4.5444240578758315,3.588397039458382
stoic-sweep-40,1.4272472262382507,4.067914551339871,3.043162432204883
astral-sweep-23,1.3960469365119934,3.8437886019813825,2.8373470097775053
absurd-sweep-4,1.3878892660140991,3.610348732324852,2.761777773048188
summer-sweep-20,1.3845651149749756,3.823255219270699,2.8853771352421416
unique-sweep-33,1.3786865174770355,3.901057902109769,2.9263643209469743
avid-sweep-30,1.3736131191253662,4.540333145470738,3.5305686433666064
bright-sweep-35,1.35869462788105,3.8894488294942673,2.9128116867488134
