,valid_loss_best,test_sharpe_gross,test_sharpe_net
copper-sweep-17,1.4682460278272629,3.3297892751046634,2.399836298567448
dulcet-sweep-21,1.4490174651145935,4.077336106971985,3.0422727034884782
expert-sweep-37,1.4482775777578354,4.5444240578758315,3.588397039458382
stoic-sweep-40,1.4272472262382507,4.067914551339871,3.043162432204883
astral-sweep-23,1.3960469365119934,3.8437886019813825,2.8373470097775053
absurd-sweep-4,1.3878892660140991,3.610348732324852,2.761777773048188
summer-sweep-20,1.3845651149749756,3.823255219270699,2.8853771352421416
unique-sweep-33,1.3786865174770355,3.901057902109769,2.9263643209469743
avid-sweep-30,1.3736131191253662,4.540333145470738,3.5305686433666064
bright-sweep-35,1.35869462788105,3.8894488294942673,2.9128116867488134
denim-sweep-28,1.337073653936386,3.116411672473067,2.3051624401916913
morning-sweep-14,1.3069706559181211,4.1355848077854125,3.1285652997311715
woven-sweep-24,1.2866785526275637,4.341218565355765,3.404566012508564
skilled-sweep-41,1.2758919596672058,4.020027162946795,3.0863624710886963
vocal-sweep-50,1.2710577696561811,2.8799946512314896,2.0481358428862193
lucky-sweep-49,1.268053412437439,3.9238283451147464,2.9309002103919504
solar-sweep-9,1.1933591663837433,2.834679771902578,1.888924587931452
deft-sweep-36,1.1431712806224823,3.5876544928655467,2.5392145457949016
cosmic-sweep-2,1.1136120408773422,3.407533635804494,2.407697334913475
northern-sweep-11,1.1119052469730375,3.815319765871448,2.9075695139115982
zany-sweep-3,1.103368952870369,3.0829819624362393,2.23555364939744
wandering-sweep-10,1.093855857849121,3.2033205277036085,2.272343492626012
smart-sweep-31,1.0897402167320251,3.784186786523192,2.65768040463627
faithful-sweep-29,1.079800009727478,3.514279291976967,2.52603172869001
vibrant-sweep-15,1.04300494492054,4.21197950932478,3.337817541017786
easy-sweep-12,1.0341564118862152,3.0726601289298188,2.067294068985877
rose-sweep-1,1.0088787078857422,2.85569906048746,2.0281098454222146
usual-sweep-26,0.9826798141002656,3.8396478910054426,2.9627503356680944
fresh-sweep-44,0.9268487393856047,2.9729369443713622,2.2398714569784186
cool-sweep-46,0.9264525771141052,2.922564801963724,1.9902862044938792
treasured-sweep-34,0.9077768325805664,2.72720925892759,1.829872380559844
copper-sweep-42,0.9006079435348511,2.3614706447942577,1.4028137398851053
ruby-sweep-18,0.8963454738259315,3.097691794626452,2.227121968238997
glorious-sweep-47,0.8717873096466064,3.000613227486394,2.1651457239976257
stellar-sweep-38,0.8409468978643417,2.791956756731481,1.8255976554920703
bright-sweep-27,0.8343134820461273,2.6900523704833668,1.7243243615038737
glad-sweep-39,0.8302961550652981,2.0986237356017323,1.1656390056081165
different-sweep-7,0.810281727463007,2.603264456428035,1.7602753385720848
sweet-sweep-48,0.7961273156106472,2.3955307886580273,1.4586792604917405
fanciful-sweep-19,0.7762680624146014,2.011259233164154,1.0191802801302212
quiet-sweep-16,0.723128046374768,1.9238616942841915,0.9615366806674636
amber-sweep-32,0.7069622687995434,1.2137585557291035,0.2246060204481284
quiet-sweep-22,0.6863542795181274,2.4576679447328176,1.6085810998762948
wise-sweep-6,0.6785000935196877,2.0109959696719786,1.001375233563477
vague-sweep-45,0.6744554024189711,1.9907730385581457,1.0821558981607495
celestial-sweep-43,0.6642890186049044,1.365898597388171,0.32527367158022286
classic-sweep-5,0.6631366237998009,2.122422306111533,1.2145542563403258
scarlet-sweep-25,0.5601574555039406,2.093751227887814,1.3751136052265165
proud-sweep-13,0.5497986823320389,1.63090976572319,0.7075230950313555
silvery-sweep-8,0.526056319475174,1.7039591788284727,1.0993198265558308
