,valid_loss_best,test_sharpe_gross,test_sharpe_net
comfy-sweep-24,0.6730205615361532,0.6613382605176826,0.6040367470764076
prime-sweep-29,0.633922815322876,0.8224632215352904,0.7035576757821185
sweet-sweep-46,0.6322556912899018,0.8275554032601923,0.7171515230492425
restful-sweep-1,0.6296490828196207,0.7845311750019233,0.7558669781772681
cosmic-sweep-18,0.6189338763554891,0.692766994649328,0.6451462768990055
happy-sweep-50,0.6097036004066467,0.8276485442716747,0.8067819022286403
smart-sweep-20,0.6084139148394266,0.8183687426705273,0.6627160615668003
serene-sweep-4,0.6073906391859054,0.5732222509576873,0.5346963274946223
ethereal-sweep-15,0.6053930521011353,0.8141572313856221,0.591284842994768
desert-sweep-43,0.5907474756240845,0.8064640795229324,0.6212232509181091
