,valid_loss_best,test_sharpe_gross,test_sharpe_net
dark-sweep-3,1.3213568925857544,4.0104445365216215,3.1235656618708085
lyric-sweep-2,1.2112381219863892,3.897748698327373,3.0263424097014253
glowing-sweep-37,1.1881265878677367,3.693170018477116,2.9465327164076744
usual-sweep-9,1.1731188297271729,3.6724294825949935,2.908861081251863
floral-sweep-29,1.141722023487091,3.73675851857517,2.861872071569989
genial-sweep-4,1.1284510254859923,3.2116431265356105,2.446782769762954
cosmic-sweep-30,1.1208007335662842,3.9952604997013297,3.207142299962427
desert-sweep-31,1.1135924259821577,3.681390465847219,2.8970321835994364
youthful-sweep-26,1.1082274317741394,3.439735313946627,2.678920451059571
wild-sweep-50,1.1035383701324464,4.484243074599002,3.6322540237526137
