,valid_loss_best,test_sharpe_gross,test_sharpe_net
dark-sweep-3,1.3213568925857544,4.0104445365216215,3.1235656618708085
lyric-sweep-2,1.2112381219863892,3.897748698327373,3.0263424097014253
glowing-sweep-37,1.1881265878677367,3.693170018477116,2.9465327164076744
usual-sweep-9,1.1731188297271729,3.6724294825949935,2.908861081251863
floral-sweep-29,1.141722023487091,3.73675851857517,2.861872071569989
genial-sweep-4,1.1284510254859923,3.2116431265356105,2.446782769762954
cosmic-sweep-30,1.1208007335662842,3.9952604997013297,3.207142299962427
desert-sweep-31,1.1135924259821577,3.681390465847219,2.8970321835994364
youthful-sweep-26,1.1082274317741394,3.439735313946627,2.678920451059571
wild-sweep-50,1.1035383701324464,4.484243074599002,3.6322540237526137
morning-sweep-23,1.100393271446228,3.6351598326602015,2.844320968644863
solar-sweep-20,1.093752932548523,3.485500482704973,2.75419954325157
warm-sweep-32,1.0693900406360626,2.732142567519806,2.0043885230088883
logical-sweep-38,1.059128737449646,3.739765195699687,2.9850053636596443
rare-sweep-11,1.0514456152915954,3.5168287614110527,2.69988190253614
sweepy-sweep-15,1.0387580394744873,3.6659126108752553,2.8779046143508196
sandy-sweep-16,1.0237298409144084,4.582175961881397,3.719133385532548
kind-sweep-22,1.011521339416504,3.387025801089827,2.6159734661328007
vital-sweep-10,0.9890581369400024,3.17223617639677,2.446909789989407
breezy-sweep-24,0.973803985118866,3.271179728572305,2.532104717042589
comfy-sweep-7,0.9605804562568664,3.0978541144375473,2.2979913938376937
glamorous-sweep-5,0.9505791664123536,3.228013340986791,2.372435133131229
lunar-sweep-27,0.9296306371688844,3.3974392055217133,2.644267835532044
deft-sweep-8,0.9182924151420592,3.253109603629132,2.54408681727048
vibrant-sweep-13,0.8739191691080729,3.376999446919067,2.617286120560718
copper-sweep-49,0.8220691084861755,3.198658584818989,2.4268645138205556
dry-sweep-47,0.7289022207260132,0.9353502661138408,0.8598914271655236
sunny-sweep-28,0.6840235233306885,0.962792199853122,0.8503191161803496
dashing-sweep-21,0.6660904288291931,0.8767915858989533,0.7975222230410899
dry-sweep-46,0.6564033344388008,1.9666206964432615,1.3780633758401892
major-sweep-36,0.6532176434993744,1.9384309054892392,1.36012601262403
daily-sweep-48,0.6470979928970337,1.7646151449528855,1.197057624285347
winter-sweep-45,0.6349123179912567,1.1376327891100122,0.7054044389304311
ethereal-sweep-25,0.6260625918706259,0.9634039148103432,0.6467389756415213
different-sweep-34,0.6233212947845459,0.8683205515602676,0.6373506349726215
celestial-sweep-18,0.6054072737693786,1.598046738713126,1.0940629994803903
worldly-sweep-35,0.5942418098449707,0.924917410634555,0.7183028883095014
winter-sweep-41,0.5839929183324178,1.3562978469134248,0.9816515340266913
super-sweep-33,0.581025767326355,0.7227748982763199,0.5587077340928575
happy-sweep-40,0.579054648677508,2.27332682680131,1.6622005091798535
warm-sweep-17,0.5781797498464585,1.8601856431564976,1.3805036060991551
spring-sweep-43,0.5663293302059174,0.9192391648917044,0.6425746541447298
dainty-sweep-39,0.5646514097849528,0.8335125692984516,0.47164081543203507
cosmic-sweep-44,0.5597057342529297,0.9325070951323194,0.6729192062658031
crisp-sweep-1,0.5572115977605184,1.2560549401475427,0.8454542079939146
lively-sweep-12,0.5533993482589722,0.7921845187111121,0.4472259605771018
atomic-sweep-14,0.5384930968284607,1.603042050100524,1.1930827941717508
denim-sweep-19,0.5355390965938568,0.6450983600620183,0.4112811957150336
efficient-sweep-42,0.5215384860833486,1.072620557286456,0.7002771352048631
toasty-sweep-6,0.51032226284345,1.2768665422059282,0.8524015369508999
