,valid_loss_best,test_sharpe_gross,test_sharpe_net
vital-sweep-5,0.6098695024847984,0.45625597571820337,0.37176619153544743
rare-sweep-21,0.45842059701681137,0.5938950610833533,0.5343492048243562
whole-sweep-17,0.4358393549919128,0.5013209974594879,0.4514844566841454
misunderstood-sweep-8,0.4265685826539994,0.6042199344019076,0.5559094424861677
eager-sweep-40,0.41671450436115265,0.5771572369285027,0.5421538681404878
eternal-sweep-14,0.41286730766296387,0.67913316123142,-0.044690013541193965
lilac-sweep-3,0.410155462367194,0.6621705567688587,0.6279549311539051
lyric-sweep-48,0.40882212668657303,0.43687380432593176,0.34565929135225576
legendary-sweep-39,0.3980458847114018,0.5382820119874329,0.45843308141721106
prime-sweep-41,0.39779342285224367,0.7214050466655124,0.6802262956864445
