,valid_loss_best,test_sharpe_gross,test_sharpe_net
dry-sweep-1,0.5270942524075508,0.5306866729710872,0.3204281275686719
sunny-sweep-16,0.5093778329236167,0.6968653174288508,0.6621071627708507
revived-sweep-19,0.4707987383008003,0.7115988061537518,0.5332570132008195
devoted-sweep-2,0.46041494607925415,0.5226623530675715,0.4361312583632211
dashing-sweep-28,0.45173925906419754,0.46376852272434255,0.39876440699769455
polar-sweep-39,0.43325717747211456,0.5259195681605462,0.47299084622980686
fluent-sweep-35,0.41368573158979416,0.7224324955121753,0.6295878491231376
classic-sweep-24,0.40501271933317184,0.6619868767805005,0.6044672493023519
comfy-sweep-21,0.39063625037670135,0.8003530829752892,0.5244199470903925
feasible-sweep-32,0.37965818494558334,0.900477068284187,0.16947817429942147
