,valid_loss_best,test_sharpe_gross,test_sharpe_net
lilac-sweep-8,0.7432777881622314,1.4307417385518215,0.5089190409891318
glowing-sweep-35,0.7325165420770645,1.2960419765290283,0.1330691200879104
celestial-sweep-45,0.6807682430371642,0.8273424503825111,-0.24273205681495597
avid-sweep-9,0.6739518364774995,0.8559492779834176,-0.1449455192719168
vocal-sweep-1,0.6648423075675964,1.185419195542993,0.4176137313478877
easy-sweep-3,0.6590643227100372,1.5782828961805462,0.6254406470201853
glorious-sweep-6,0.6497852131724358,1.8233044310951243,0.8971327234146583
gallant-sweep-2,0.647176519036293,1.1509188186955357,0.19930667780124725
peachy-sweep-21,0.6443498134613037,1.4509787078809004,0.6446629212425029
elated-sweep-37,0.6436758935451508,1.5835379416169544,0.4405087613930972
dashing-sweep-17,0.6402170583605766,1.567898294340343,0.552719650116577
flowing-sweep-27,0.6370526850223541,1.2691749047483116,0.3063652212176448
colorful-sweep-10,0.6349327526986599,1.4608950617662355,0.4087856712220874
generous-sweep-28,0.6305902198655531,1.1457333185477008,0.1409802522544537
crisp-sweep-36,0.6298588737845421,1.2210649407145069,0.2661934868821801
fresh-sweep-29,0.6235688501037657,1.1665636700413595,0.12365820412800596
curious-sweep-11,0.5990031026303768,1.7577507818823084,0.6633631841529457
volcanic-sweep-47,0.5989701095968485,1.1711952916409127,0.2506791071333086
skilled-sweep-14,0.5939457882195711,1.5913474753911343,0.4893745721756379
worthy-sweep-34,0.5907784849405289,1.2965109341296983,0.35915359531103863
warm-sweep-44,0.5864619016647339,1.2670626440193429,0.3992918124017497
volcanic-sweep-42,0.5861441493034363,1.144958503606468,0.07282758619161266
graceful-sweep-46,0.5785157941281796,0.8797926672770922,-0.1435100082036336
vibrant-sweep-5,0.5775750989560038,1.16345684072121,0.18021637318346992
rural-sweep-7,0.576460357173346,1.051225529251162,0.07389539862015897
dainty-sweep-38,0.5596764218062162,1.2298620648961502,0.324231459919612
neat-sweep-23,0.5536652579903603,1.3248923900513925,0.2582840795677464
polished-sweep-19,0.5529210679233074,1.711441070973294,0.745273146222253
eternal-sweep-31,0.5397738553583622,1.0715503763853598,0.266959544648987
deft-sweep-40,0.5322816474363208,1.1104817816190695,0.171675424345253
efficient-sweep-33,0.525291945785284,0.8842721881264658,-0.2576659639420009
glad-sweep-24,0.5183727666735649,1.277216019602469,0.4174270215272408
charmed-sweep-4,0.5150024630129337,1.0130768633368044,0.1155930161945149
warm-sweep-12,0.5140678267925978,1.7162289329235367,0.6028708066883431
hearty-sweep-41,0.5090480037033558,1.0111782059941683,0.0058287094756063855
kind-sweep-15,0.5082363002002239,1.570984425657941,0.9439778270066655
light-sweep-16,0.3751740902662277,1.3808791859362453,1.3460118878370917
sparkling-sweep-13,0.3621124029159546,1.3880273298231751,1.306419328670331
eager-sweep-25,0.34709639847278595,1.2531639944430744,1.171956015338459
kind-sweep-20,0.3339277058839798,1.65301628693646,1.6199915599631345
sparkling-sweep-22,0.3335163965821266,1.76437426097313,1.710642591470377
vocal-sweep-48,0.33106260001659393,1.6441891210825417,1.5793515398622289
serene-sweep-50,0.3229560852050781,1.7475114208828677,1.694329850859401
sparkling-sweep-49,0.3097892254590988,1.3779082537871346,1.3139889287455335
eager-sweep-30,0.2798934057354927,1.6902603910021612,1.5689972814888142
legendary-sweep-18,0.269345723092556,1.4967806672187485,1.2612830221177866
graceful-sweep-32,0.23680972866714,1.3671180893712198,1.3402181285301096
different-sweep-43,0.22631295770406723,1.5505495834244687,1.50931222689659
spring-sweep-39,0.12507715314859524,1.757371357926962,1.670277025312747
clear-sweep-26,0.047170259058475494,1.6356582323508624,1.517923736068761
